"Provplats ID (VISS)","Provplats ID (Stationsregistret)","Mätvariabel","Trend","p-värde","Period"
"SE666881-151821",,"Sulfat","neutral",0.4131,"Hela perioden"
"SE666881-151821",,"Kisel","neutral",0.1369,"Hela perioden"
"SE666881-151821",,"Totalt organiskt kol","ökande",0.0494,"Hela perioden"
"SE666881-151821",,"Totalkväve","neutral",0.7738,"Hela perioden"
"SE666881-151821",,"Totalfosfor","neutral",0.1941,"Hela perioden"
"SE666881-151821",,"pH","neutral",0.0613,"Hela perioden"
"SE666881-151821",,"Temperatur - vår","neutral",0.3336,"Hela perioden"
"SE626878-134788",,"Brunhet","neutral",0.1317,"Hela perioden"
"SE626878-134788",,"Alkalinitet","neutral",0.7727,"Hela perioden"
"SE626878-134788",,"Konduktivitet","neutral",1,"Hela perioden"
"SE626878-134788",,"Oorganiskt kväve","neutral",0.0709,"Hela perioden"
"SE626878-134788",,"Lättillgänglig fosfor","neutral",0.0706,"Hela perioden"
"SE626878-134788",,"Sulfat","neutral",0.8959,"Hela perioden"
"SE626878-134788",,"Kisel","neutral",0.8163,"Hela perioden"
"SE626878-134788",,"Totalt organiskt kol","neutral",0.2146,"Hela perioden"
"SE626878-134788",,"Totalkväve","neutral",0.705,"Hela perioden"
"SE626878-134788",,"Totalfosfor","neutral",0.8052,"Hela perioden"
"SE626878-134788",,"pH","neutral",0.7822,"Hela perioden"
"SE626878-134788",,"Temperatur - vår","neutral",0.2831,"Hela perioden"
"SE673809-153401",,"Brunhet","ökande",0.0283,"Hela perioden"
"SE673809-153401",,"Alkalinitet","neutral",0.5596,"Hela perioden"
"SE673809-153401",,"Konduktivitet","neutral",0.9538,"Hela perioden"
"SE673809-153401",,"Oorganiskt kväve","minskande",0.0054,"Hela perioden"
"SE673809-153401",,"Lättillgänglig fosfor","minskande",0.0288,"Hela perioden"
"SE673809-153401",,"Sulfat","minskande",4e-4,"Hela perioden"
"SE673809-153401",,"Kisel","ökande",0.0062,"Hela perioden"
"SE673809-153401",,"Totalt organiskt kol","ökande",0.0066,"Hela perioden"
"SE673809-153401",,"Totalkväve","neutral",0.7676,"Hela perioden"
"SE673809-153401",,"Totalfosfor","neutral",0.3415,"Hela perioden"
"SE673809-153401",,"pH","neutral",0.2189,"Hela perioden"
"SE673809-153401",,"Temperatur - vår","neutral",0.069,"Hela perioden"
"SE639339-154122",,"Brunhet","ökande",0,"Hela perioden"
"SE639339-154122",,"Alkalinitet","ökande",0,"Hela perioden"
"SE639339-154122",,"Konduktivitet","minskande",8e-4,"Hela perioden"
"SE639339-154122",,"Oorganiskt kväve","minskande",0,"Hela perioden"
"SE639339-154122",,"Lättillgänglig fosfor","minskande",0.0011,"Hela perioden"
"SE639339-154122",,"Sulfat","minskande",0,"Hela perioden"
"SE639339-154122",,"Kisel","ökande",0,"Hela perioden"
"SE639339-154122",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE639339-154122",,"Totalkväve","minskande",0.0148,"Hela perioden"
"SE639339-154122",,"Totalfosfor","minskande",5e-4,"Hela perioden"
"SE639339-154122",,"pH","ökande",0,"Hela perioden"
"SE639339-154122",,"Temperatur - vår","neutral",0.1764,"Hela perioden"
"SE650799-143323",,"Brunhet","ökande",0,"Hela perioden"
"SE650799-143323",,"Alkalinitet","minskande",0.0016,"Hela perioden"
"SE650799-143323",,"Konduktivitet","minskande",0,"Hela perioden"
"SE650799-143323",,"Oorganiskt kväve","minskande",0.0088,"Hela perioden"
"SE650799-143323",,"Lättillgänglig fosfor","minskande",0.0048,"Hela perioden"
"SE650799-143323",,"Sulfat","minskande",0,"Hela perioden"
"SE650799-143323",,"Kisel","neutral",0.1137,"Hela perioden"
"SE650799-143323",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE650799-143323",,"Totalkväve","ökande",4e-4,"Hela perioden"
"SE650799-143323",,"Totalfosfor","minskande",0.0444,"Hela perioden"
"SE650799-143323",,"pH","ökande",0,"Hela perioden"
"SE650799-143323",,"Temperatur - vår","neutral",0.0966,"Hela perioden"
"SE641475-147365",,"Brunhet","minskande",0.0041,"Hela perioden"
"SE641475-147365",,"Alkalinitet","ökande",3e-4,"Hela perioden"
"SE641475-147365",,"Konduktivitet","ökande",0.003,"Hela perioden"
"SE641475-147365",,"Oorganiskt kväve","minskande",0.0427,"Hela perioden"
"SE641475-147365",,"Lättillgänglig fosfor","minskande",2e-4,"Hela perioden"
"SE641475-147365",,"Sulfat","neutral",0.3165,"Hela perioden"
"SE641475-147365",,"Kisel","minskande",0.0016,"Hela perioden"
"SE641475-147365",,"Totalt organiskt kol","minskande",0.0092,"Hela perioden"
"SE641475-147365",,"Totalkväve","neutral",0.2029,"Hela perioden"
"SE641475-147365",,"Totalfosfor","minskande",0.0038,"Hela perioden"
"SE641475-147365",,"pH","ökande",0.0158,"Hela perioden"
"SE641475-147365",,"Temperatur - vår","neutral",0.6556,"Hela perioden"
"SE647582-127369",,"Brunhet","ökande",0,"Hela perioden"
"SE647582-127369",,"Alkalinitet","ökande",0.0064,"Hela perioden"
"SE647582-127369",,"Konduktivitet","minskande",0.0015,"Hela perioden"
"SE647582-127369",,"Oorganiskt kväve","minskande",2e-4,"Hela perioden"
"SE647582-127369",,"Lättillgänglig fosfor","ökande",0.013,"Hela perioden"
"SE647582-127369",,"Sulfat","minskande",0,"Hela perioden"
"SE647582-127369",,"Kisel","ökande",1e-4,"Hela perioden"
"SE647582-127369",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE647582-127369",,"Totalkväve","minskande",0.0054,"Hela perioden"
"SE647582-127369",,"Totalfosfor","neutral",0.8892,"Hela perioden"
"SE647582-127369",,"pH","ökande",0,"Hela perioden"
"SE647582-127369",,"Temperatur - vår","neutral",0.8609,"Hela perioden"
"SE671742-158974",,"Brunhet","ökande",0,"Hela perioden"
"SE671742-158974",,"Alkalinitet","ökande",0,"Hela perioden"
"SE671742-158974",,"Konduktivitet","neutral",0.515,"Hela perioden"
"SE671742-158974",,"Oorganiskt kväve","neutral",0.2169,"Hela perioden"
"SE671742-158974",,"Lättillgänglig fosfor","minskande",0.0058,"Hela perioden"
"SE671742-158974",,"Sulfat","minskande",0,"Hela perioden"
"SE671742-158974",,"Kisel","ökande",0.0058,"Hela perioden"
"SE671742-158974",,"Totalt organiskt kol","ökande",1e-4,"Hela perioden"
"SE671742-158974",,"Totalkväve","neutral",0.5564,"Hela perioden"
"SE671742-158974",,"Totalfosfor","minskande",0,"Hela perioden"
"SE671742-158974",,"pH","ökande",0,"Hela perioden"
"SE671742-158974",,"Temperatur - vår","neutral",0.2594,"Hela perioden"
"SE632137-147160",,"Brunhet","neutral",0.1171,"Hela perioden"
"SE632137-147160",,"Alkalinitet","ökande",0.0022,"Hela perioden"
"SE632137-147160",,"Konduktivitet","neutral",0.6136,"Hela perioden"
"SE632137-147160",,"Oorganiskt kväve","minskande",0.0385,"Hela perioden"
"SE632137-147160",,"Lättillgänglig fosfor","minskande",0.0498,"Hela perioden"
"SE632137-147160",,"Sulfat","minskande",0.0033,"Hela perioden"
"SE632137-147160",,"Kisel","ökande",9e-4,"Hela perioden"
"SE632137-147160",,"Totalt organiskt kol","ökande",0.0112,"Hela perioden"
"SE632137-147160",,"Totalkväve","neutral",0.6317,"Hela perioden"
"SE632137-147160",,"Totalfosfor","ökande",0.0032,"Hela perioden"
"SE632137-147160",,"pH","ökande",0.0229,"Hela perioden"
"SE632137-147160",,"Temperatur - vår","neutral",0.5513,"Hela perioden"
"SE683661-156793",,"Brunhet","ökande",2e-4,"Hela perioden"
"SE683661-156793",,"Alkalinitet","ökande",0,"Hela perioden"
"SE683661-156793",,"Konduktivitet","minskande",0.0459,"Hela perioden"
"SE683661-156793",,"Oorganiskt kväve","neutral",0.1794,"Hela perioden"
"SE683661-156793",,"Lättillgänglig fosfor","minskande",0.0221,"Hela perioden"
"SE683661-156793",,"Sulfat","minskande",0,"Hela perioden"
"SE683661-156793",,"Kisel","ökande",0,"Hela perioden"
"SE683661-156793",,"Totalt organiskt kol","ökande",0.0056,"Hela perioden"
"SE683661-156793",,"Totalkväve","minskande",0.007,"Hela perioden"
"SE683661-156793",,"Totalfosfor","minskande",0,"Hela perioden"
"SE683661-156793",,"pH","ökande",5e-4,"Hela perioden"
"SE683661-156793",,"Temperatur - vår","neutral",0.5741,"Hela perioden"
"SE641827-139990",,"Brunhet","ökande",0,"Hela perioden"
"SE641827-139990",,"Alkalinitet","ökande",0.0094,"Hela perioden"
"SE641827-139990",,"Konduktivitet","neutral",0.0605,"Hela perioden"
"SE641827-139990",,"Oorganiskt kväve","neutral",0.6074,"Hela perioden"
"SE641827-139990",,"Lättillgänglig fosfor","neutral",0.7825,"Hela perioden"
"SE641827-139990",,"Sulfat","minskande",1e-4,"Hela perioden"
"SE641827-139990",,"Kisel","ökande",0,"Hela perioden"
"SE641827-139990",,"Totalt organiskt kol","neutral",0.163,"Hela perioden"
"SE641827-139990",,"Totalkväve","neutral",0.6756,"Hela perioden"
"SE641827-139990",,"Totalfosfor","minskande",9e-4,"Hela perioden"
"SE641827-139990",,"pH","neutral",0.6582,"Hela perioden"
"SE641827-139990",,"Temperatur - vår","neutral",0.8517,"Hela perioden"
"SE633520-153920",,"Brunhet","ökande",1e-4,"Hela perioden"
"SE633520-153920",,"Alkalinitet","ökande",0,"Hela perioden"
"SE633520-153920",,"Konduktivitet","minskande",0.0043,"Hela perioden"
"SE633520-153920",,"Oorganiskt kväve","ökande",0.0023,"Hela perioden"
"SE633520-153920",,"Lättillgänglig fosfor","neutral",0.0814,"Hela perioden"
"SE633520-153920",,"Sulfat","minskande",0,"Hela perioden"
"SE633520-153920",,"Kisel","ökande",0,"Hela perioden"
"SE633520-153920",,"Totalt organiskt kol","ökande",3e-4,"Hela perioden"
"SE633520-153920",,"Totalkväve","ökande",0.0325,"Hela perioden"
"SE633520-153920",,"Totalfosfor","minskande",0,"Hela perioden"
"SE633520-153920",,"pH","ökande",0,"Hela perioden"
"SE633520-153920",,"Temperatur - vår","neutral",0.8335,"Hela perioden"
"SE653621-125394",,"Brunhet","ökande",0,"Hela perioden"
"SE653621-125394",,"Alkalinitet","ökande",0,"Hela perioden"
"SE653621-125394",,"Konduktivitet","minskande",1e-4,"Hela perioden"
"SE653621-125394",,"Oorganiskt kväve","minskande",0,"Hela perioden"
"SE653621-125394",,"Lättillgänglig fosfor","neutral",0.1682,"Hela perioden"
"SE653621-125394",,"Sulfat","minskande",0,"Hela perioden"
"SE653621-125394",,"Kisel","ökande",0.0066,"Hela perioden"
"SE653621-125394",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE653621-125394",,"Totalkväve","minskande",1e-4,"Hela perioden"
"SE653621-125394",,"Totalfosfor","minskande",2e-4,"Hela perioden"
"SE653621-125394",,"pH","ökande",0,"Hela perioden"
"SE653621-125394",,"Temperatur - vår","neutral",0.8199,"Hela perioden"
"SE720990-147270",,"Brunhet","neutral",0.2403,"Hela perioden"
"SE720990-147270",,"Alkalinitet","ökande",0.0022,"Hela perioden"
"SE720990-147270",,"Konduktivitet","neutral",0.2348,"Hela perioden"
"SE720990-147270",,"Oorganiskt kväve","minskande",0,"Hela perioden"
"SE720990-147270",,"Lättillgänglig fosfor","minskande",0.0022,"Hela perioden"
"SE720990-147270",,"Sulfat","minskande",1e-4,"Hela perioden"
"SE720990-147270",,"Kisel","ökande",0.0041,"Hela perioden"
"SE720990-147270",,"Totalt organiskt kol","neutral",0.8826,"Hela perioden"
"SE720990-147270",,"Totalkväve","minskande",0,"Hela perioden"
"SE720990-147270",,"Totalfosfor","minskande",7e-4,"Hela perioden"
"SE720990-147270",,"pH","neutral",0.3056,"Hela perioden"
"SE720990-147270",,"Temperatur - vår","ökande",0.048,"Hela perioden"
"SE669500-163246",,"Brunhet","ökande",8e-4,"Hela perioden"
"SE669500-163246",,"Alkalinitet","neutral",0.3224,"Hela perioden"
"SE669500-163246",,"Konduktivitet","neutral",0.1434,"Hela perioden"
"SE669500-163246",,"Oorganiskt kväve","neutral",0.8284,"Hela perioden"
"SE669500-163246",,"Lättillgänglig fosfor","neutral",0.1293,"Hela perioden"
"SE669500-163246",,"Sulfat","minskande",0.0497,"Hela perioden"
"SE669500-163246",,"Kisel","ökande",0.0192,"Hela perioden"
"SE669500-163246",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE669500-163246",,"Totalkväve","ökande",0.0099,"Hela perioden"
"SE669500-163246",,"Totalfosfor","neutral",0.2397,"Hela perioden"
"SE669500-163246",,"pH","neutral",0.1179,"Hela perioden"
"SE669500-163246",,"Temperatur - vår","neutral",0.0991,"Hela perioden"
"SE631625-133602",,"Brunhet","neutral",0.5245,"Hela perioden"
"SE631625-133602",,"Alkalinitet","neutral",0.6521,"Hela perioden"
"SE631625-133602",,"Konduktivitet","neutral",0.8672,"Hela perioden"
"SE631625-133602",,"Oorganiskt kväve","neutral",0.0869,"Hela perioden"
"SE631625-133602",,"Lättillgänglig fosfor","minskande",0.0186,"Hela perioden"
"SE631625-133602",,"Sulfat","neutral",0.2794,"Hela perioden"
"SE631625-133602",,"Kisel","neutral",0.7098,"Hela perioden"
"SE631625-133602",,"Totalt organiskt kol","neutral",0.6262,"Hela perioden"
"SE631625-133602",,"Totalkväve","neutral",0.6838,"Hela perioden"
"SE631625-133602",,"Totalfosfor","neutral",0.082,"Hela perioden"
"SE631625-133602",,"pH","neutral",0.7474,"Hela perioden"
"SE631625-133602",,"Temperatur - vår","neutral",0.5885,"Hela perioden"
"SE672924-157224",,"Brunhet","ökande",2e-4,"Hela perioden"
"SE672924-157224",,"Alkalinitet","neutral",0.0566,"Hela perioden"
"SE672924-157224",,"Konduktivitet","neutral",0.1464,"Hela perioden"
"SE672924-157224",,"Oorganiskt kväve","neutral",0.4066,"Hela perioden"
"SE672924-157224",,"Lättillgänglig fosfor","neutral",0.2549,"Hela perioden"
"SE672924-157224",,"Sulfat","minskande",0.0184,"Hela perioden"
"SE672924-157224",,"Kisel","neutral",0.297,"Hela perioden"
"SE672924-157224",,"Totalt organiskt kol","ökande",2e-4,"Hela perioden"
"SE672924-157224",,"Totalkväve","neutral",0.9449,"Hela perioden"
"SE672924-157224",,"Totalfosfor","neutral",0.1039,"Hela perioden"
"SE672924-157224",,"pH","neutral",0.7548,"Hela perioden"
"SE703055-166572",,"Brunhet","ökande",0,"Hela perioden"
"SE703055-166572",,"Alkalinitet","neutral",0.3119,"Hela perioden"
"SE703055-166572",,"Konduktivitet","minskande",0,"Hela perioden"
"SE703055-166572",,"Oorganiskt kväve","minskande",6e-4,"Hela perioden"
"SE703055-166572",,"Lättillgänglig fosfor","neutral",0.1153,"Hela perioden"
"SE703055-166572",,"Sulfat","minskande",0,"Hela perioden"
"SE703055-166572",,"Kisel","neutral",0.0596,"Hela perioden"
"SE703055-166572",,"Totalt organiskt kol","ökande",3e-4,"Hela perioden"
"SE703055-166572",,"Totalkväve","neutral",0.31,"Hela perioden"
"SE703055-166572",,"Totalfosfor","minskande",0,"Hela perioden"
"SE703055-166572",,"pH","minskande",7e-4,"Hela perioden"
"SE703055-166572",,"Temperatur - vår","neutral",0.0667,"Hela perioden"
"SE638491-166721",,"Brunhet","neutral",0.5842,"Hela perioden"
"SE638491-166721",,"Alkalinitet","ökande",0.0099,"Hela perioden"
"SE638491-166721",,"Konduktivitet","neutral",0.8313,"Hela perioden"
"SE638491-166721",,"Oorganiskt kväve","neutral",0.4315,"Hela perioden"
"SE638491-166721",,"Lättillgänglig fosfor","minskande",0.01,"Hela perioden"
"SE638491-166721",,"Sulfat","neutral",0.1269,"Hela perioden"
"SE638491-166721",,"Kisel","ökande",0.0259,"Hela perioden"
"SE638491-166721",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE638491-166721",,"Totalkväve","neutral",0.2454,"Hela perioden"
"SE638491-166721",,"Totalfosfor","minskande",0,"Hela perioden"
"SE638491-166721",,"pH","neutral",0.1779,"Hela perioden"
"SE638491-166721",,"Temperatur - vår","neutral",0.1195,"Hela perioden"
"SE646771-129330",,"Brunhet","minskande",0,"Hela perioden"
"SE646771-129330",,"Alkalinitet","ökande",0,"Hela perioden"
"SE646771-129330",,"Konduktivitet","minskande",0,"Hela perioden"
"SE646771-129330",,"Oorganiskt kväve","minskande",0.0025,"Hela perioden"
"SE646771-129330",,"Lättillgänglig fosfor","minskande",2e-4,"Hela perioden"
"SE646771-129330",,"Sulfat","minskande",0,"Hela perioden"
"SE646771-129330",,"Kisel","ökande",0.0354,"Hela perioden"
"SE646771-129330",,"Totalt organiskt kol","neutral",0.4169,"Hela perioden"
"SE646771-129330",,"Totalkväve","minskande",1e-4,"Hela perioden"
"SE646771-129330",,"Totalfosfor","minskande",0,"Hela perioden"
"SE646771-129330",,"pH","ökande",0,"Hela perioden"
"SE646771-129330",,"Temperatur - vår","neutral",0.1067,"Hela perioden"
"SE641071-127372",,"Brunhet","neutral",0.7808,"Hela perioden"
"SE641071-127372",,"Alkalinitet","ökande",0,"Hela perioden"
"SE641071-127372",,"Konduktivitet","minskande",0,"Hela perioden"
"SE641071-127372",,"Oorganiskt kväve","minskande",0,"Hela perioden"
"SE641071-127372",,"Lättillgänglig fosfor","neutral",0.5076,"Hela perioden"
"SE641071-127372",,"Sulfat","minskande",0,"Hela perioden"
"SE641071-127372",,"Kisel","ökande",0,"Hela perioden"
"SE641071-127372",,"Totalt organiskt kol","neutral",0.231,"Hela perioden"
"SE641071-127372",,"Totalkväve","minskande",0,"Hela perioden"
"SE641071-127372",,"Totalfosfor","minskande",0.0127,"Hela perioden"
"SE641071-127372",,"pH","ökande",0,"Hela perioden"
"SE641071-127372",,"Temperatur - vår","neutral",0.1412,"Hela perioden"
"SE640085-138148",,"Brunhet","neutral",0.8331,"Hela perioden"
"SE640085-138148",,"Alkalinitet","neutral",0.0604,"Hela perioden"
"SE640085-138148",,"Konduktivitet","ökande",0.045,"Hela perioden"
"SE640085-138148",,"Oorganiskt kväve","neutral",0.8378,"Hela perioden"
"SE640085-138148",,"Lättillgänglig fosfor","minskande",3e-4,"Hela perioden"
"SE640085-138148",,"Sulfat","neutral",0.2846,"Hela perioden"
"SE640085-138148",,"Kisel","ökande",0.0242,"Hela perioden"
"SE640085-138148",,"Totalt organiskt kol","neutral",0.96,"Hela perioden"
"SE640085-138148",,"Totalkväve","neutral",0.8071,"Hela perioden"
"SE640085-138148",,"Totalfosfor","neutral",0.7213,"Hela perioden"
"SE640085-138148",,"pH","neutral",0.0712,"Hela perioden"
"SE640085-138148",,"Temperatur - vår","neutral",0.5526,"Hela perioden"
"SE620277-140091",,"Brunhet","ökande",0,"Hela perioden"
"SE620277-140091",,"Alkalinitet","ökande",1e-4,"Hela perioden"
"SE620277-140091",,"Konduktivitet","neutral",0.4735,"Hela perioden"
"SE620277-140091",,"Oorganiskt kväve","neutral",0.8678,"Hela perioden"
"SE620277-140091",,"Lättillgänglig fosfor","neutral",0.6776,"Hela perioden"
"SE620277-140091",,"Sulfat","minskande",7e-4,"Hela perioden"
"SE620277-140091",,"Kisel","ökande",0,"Hela perioden"
"SE620277-140091",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE620277-140091",,"Totalkväve","neutral",0.7283,"Hela perioden"
"SE620277-140091",,"Totalfosfor","minskande",0.0255,"Hela perioden"
"SE620277-140091",,"pH","ökande",0,"Hela perioden"
"SE620277-140091",,"Temperatur - vår","neutral",0.346,"Hela perioden"
"SE642969-145547",,"Brunhet","minskande",0.0444,"Hela perioden"
"SE642969-145547",,"Alkalinitet","neutral",0.4836,"Hela perioden"
"SE642969-145547",,"Konduktivitet","ökande",0.0111,"Hela perioden"
"SE642969-145547",,"Oorganiskt kväve","ökande",0.0048,"Hela perioden"
"SE642969-145547",,"Lättillgänglig fosfor","minskande",0.0271,"Hela perioden"
"SE642969-145547",,"Sulfat","ökande",0.0058,"Hela perioden"
"SE642969-145547",,"Kisel","neutral",0.2662,"Hela perioden"
"SE642969-145547",,"Totalt organiskt kol","neutral",0.9619,"Hela perioden"
"SE642969-145547",,"Totalkväve","neutral",0.0521,"Hela perioden"
"SE642969-145547",,"Totalfosfor","neutral",0.3418,"Hela perioden"
"SE642969-145547",,"pH","neutral",0.6191,"Hela perioden"
"SE642969-145547",,"Temperatur - vår","neutral",1,"Hela perioden"
"SE710354-155465",,"Brunhet","neutral",0.1481,"Hela perioden"
"SE710354-155465",,"Alkalinitet","neutral",0.4511,"Hela perioden"
